event,block,fire_slots,duration_days,complete_days,gap_rate,sat_rate,peak_frp_mw,verdict,failed_criteria
me_n_a_2020_0406,dev_pool_2026,11,11,11,0.0,0.0,290.2,FAIL,fire_slots>=15
ba_n_a_2020_0406,dev_pool_2026,58,11,11,0.0,0.0,3155.3,PASS,
dz_n_a_2020_1104,dev_pool_2026,0,11,11,0.0,0.0,0.0,FAIL,fire_slots>=15
ba_n_a_2020_0407,dev_pool_2026,96,11,11,0.0,0.0018,10870.2,PASS,
ba_n_a_2020_0409,dev_pool_2026,53,11,9,0.0,0.0,3362.7,PASS,
ba_n_a_2020_0407_b,dev_pool_2026,96,11,11,0.0,0.002,10563.1,PASS,
ba_n_a_2020_0317,dev_pool_2026,13,11,11,0.0,0.0,922.8,FAIL,fire_slots>=15
mk_veles_2019_0323,dev_pool_2026,13,11,11,0.0,0.0,1554.5,FAIL,fire_slots>=15
pt_campia_2017_1013,dev_pool_2026,45,11,11,0.0,0.0407,29887.5,PASS,
hr_civljane_2020_0401,dev_pool_2026,66,11,10,0.0,0.0,3155.3,PASS,
dz_n_a_2023_1018,dev_pool_2026,37,11,11,0.0,0.0059,9610.7,PASS,
me_n_a_2016_1208,dev_pool_2026,0,11,11,0.0,0.0,0.0,FAIL,fire_slots>=15
it_mompantero_2017_1018,dev_pool_2026,88,11,11,0.0,0.0102,7208.2,PASS,
al_lezhe_2020_0729,dev_pool_2026,3,11,11,0.0,0.0,56.9,FAIL,fire_slots>=15
fr_mendive_2019_0214,dev_pool_2026,75,11,11,0.0,0.0,3987.5,PASS,
dz_n_a_2019_0625,dev_pool_2026,81,11,9,0.0076,0.0003,14601.8,PASS,
me_n_a_2020_0727,dev_pool_2026,31,11,11,0.0,0.0,1357.6,PASS,
fr_vitrolles_2016_0810,dev_pool_2026,16,11,9,0.0,0.0288,16161.2,PASS,
it_dualchi_2016_0701,dev_pool_2026,30,11,11,0.0,0.0012,8870.7,PASS,
it_gratteri_2016_0616,dev_pool_2026,15,11,10,0.0,0.0,1805.9,PASS,
it_san_vito_lo_capo_2020_0829,dev_pool_2026,25,11,10,0.0,0.0,3961.1,PASS,
pt_raiva_pedorido_e_p_2017_1015,dev_pool_2026,20,11,11,0.0,0.0788,27168.6,PASS,
pt_reriz_e_gafanhao_2024_0904,dev_pool_2026,74,11,11,0.0,0.0004,10930.5,PASS,
me_n_a_2017_0707,dev_pool_2026,34,11,11,0.0,0.0,1196.5,PASS,
es_ibias_2017_1015,dev_pool_2026,51,11,11,0.0,0.0206,32800.7,PASS,
es_carballeda_de_avia_2017_1013,dev_pool_2026,77,11,11,0.0,0.0116,34894.3,PASS,
dz_n_a_2017_0729,dev_pool_2026,183,11,9,0.0076,0.0363,57655.6,PASS,
pt_queiriz_2017_1015,dev_pool_2026,28,11,11,0.0,0.0252,39767.9,PASS,
es_soutomaior_2017_1015,dev_pool_2026,41,11,11,0.0,0.0123,31377.2,PASS,
pt_pinzio_2017_1014,dev_pool_2026,19,11,11,0.0,0.0154,25635.7,PASS,
dz_n_a_2020_0806,dev_pool_2026,118,11,11,0.0,0.0006,7998.7,PASS,
dz_n_a_2019_0801,dev_pool_2026,92,11,11,0.0,0.0,12501.6,PASS,
tn_n_a_2021_0725,dev_pool_2026,71,11,11,0.0,0.0045,5723.6,PASS,
tn_n_a_2017_0808,dev_pool_2026,24,11,11,0.0,0.0813,5609.4,PASS,
mk_novaci_2024_0809,dev_pool_2026,133,11,9,0.0152,0.0,5719.6,PASS,
pt_carvoeiro_2017_0717,dev_pool_2026,116,11,10,0.0,0.0593,48555.8,PASS,
